method,n_params,time
irr,100.0,0.1765933036804199
cvxpy,100.0,1.3348190784454346
irr,500.0,1.0822999477386477
cvxpy,500.0,20.765342950820923
irr,100.0,0.2658648490905761
cvxpy,100.0,1.4847400188446045
irr,500.0,2.5095150470733643
cvxpy,500.0,22.621532917022705
irr,1000.0,2.112025022506714
cvxpy,1000.0,45.74408006668091
irr,5000.0,5.373140096664429
cvxpy,5000.0,323.0884871482849
irr,100.0,0.16518878936767578
cvxpy,100.0,1.4279179573059082
irr,500.0,2.557400941848755
cvxpy,500.0,22.031840085983276
irr,1000.0,1.9425914287567139
cvxpy,1000.0,48.66869306564331
irr,5000.0,5.742805004119873
cvxpy,5000.0,308.6786642074585
